DATE,IBM_CLOSE,AAPL_CLOSE,IBM_SHARE,AAPL_SHARE
2014/4/21,190.03,75.09,2631.1635,6658.676255
2014/4/17,187.8,74.21,2662.406816,6737.636437
2014/4/16,194.12,73.37,2575.726355,6814.774431
2014/4/15,194.73,73.22,2567.657783,6828.735318
2014/4/14,195.47,73.74,2557.937279,6780.580418
2014/4/11,192.92,73.45,2591.747875,6807.35194
2014/4/10,193.4,74,2585.315408,6756.756757
2014/4/9,194.35,74.97,2572.678158,6669.3344
2014/4/8,191.04,73.99,2617.252931,6757.669955
2014/4/7,192.26,74,2600.64496,6756.756757
2014/4/4,189.54,75.18,2637.965601,6650.704975
2014/4/3,190.45,76.16,2625.360987,6565.12605
2014/4/2,191.3,76.7,2613.695766,6518.904824
2014/4/1,192.24,76.57,2600.915522,6529.972574
2014/3/31,190.25,75.87,2628.120894,6590.220113
2014/3/28,188.23,75.89,2656.324709,6588.483331
2014/3/27,187.62,75.98,2664.961092,6580.679126
2014/3/26,190.38,76.3,2626.326295,6553.079948
2014/3/25,192.77,77.04,2593.76459,6490.134995
2014/3/24,186.06,76.22,2687.30517,6559.958016
2014/3/21,184.5,75.33,2710.0271,6637.461835
2014/3/20,185.71,74.74,2692.369824,6689.858175
2014/3/19,182.56,75.1,2738.825592,6657.789614
2014/3/18,184.64,75.12,2707.97227,6656.017039
2014/3/17,183.65,74.46,2722.570106,6715.014773
2014/3/14,180.09,74.17,2776.389583,6741.270055
2014/3/13,181.76,75.01,2750.880282,6665.777896
2014/3/12,184.05,75.86,2716.653083,6591.088848
2014/3/11,184.59,75.78,2708.70578,6598.046978
2014/3/10,184.22,75.05,2714.14613,6662.225183
2014/3/7,185.5,74.98,2695.41779,6668.444919
2014/3/6,185.46,75.03,2695.999137,6664.001066
2014/3/5,184.96,75.25,2703.287197,6644.518272
2014/3/4,184.27,75.1,2713.409671,6657.789614
2014/3/3,182.12,74.6,2745.442565,6702.412869
2014/2/28,183.02,74.39,2731.941864,6721.333513
2014/2/27,183.11,74.59,2730.599093,6703.311436
2014/2/26,181.92,73.13,2748.460862,6837.139341
2014/2/25,181.1,73.8,2760.905577,6775.067751
2014/2/24,181.32,74.57,2757.555703,6705.109293
2014/2/21,180.66,74.25,2767.629802,6734.006734
2014/2/20,182.12,75.08,2745.442565,6659.563133
2014/2/19,180.82,75.96,2765.180843,6582.411796
2014/2/18,181.06,77.18,2761.51552,6478.36227
2014/2/14,181.55,76.9,2754.062242,6501.950585
2014/2/13,179.72,76.96,2782.105497,6496.881497
2014/2/12,178.14,75.76,2806.781183,6599.788807
2014/2/11,177.61,75.76,2815.156804,6599.788807
2014/2/10,175.08,74.78,2855.837332,6686.279754
2014/2/7,175.19,73.46,2854.044181,6806.425265
2014/2/6,172.64,72.45,2896.200185,6901.311249
2014/2/5,171.27,72.03,2919.367081,6941.552131
2014/2/4,169.9,71.49,2942.907593,6993.985173
2014/2/3,169.96,70.47,2941.868675,7095.217823
2014/1/31,173.67,70.34,2879.023435,7108.330964
2014/1/30,174.34,70.23,2867.95916,7119.464616
2014/1/29,173.4,70.37,2883.506344,7105.300554
2014/1/28,173.84,71.17,2876.208007,7025.432064
2014/1/27,174.87,77.36,2859.266884,6463.288521
2014/1/24,176.58,76.73,2831.577755,6516.356054
2014/1/23,179.62,78.15,2783.654381,6397.952655
2014/1/22,179.15,77.5,2790.957298,6451.612903
2014/1/21,185.22,77.15,2699.492495,6480.8814
2014/1/17,186.85,75.97,2675.94327,6581.545347
2014/1/16,185.55,77.88,2694.691458,6420.133539
2014/1/15,184.54,78.32,2709.439688,6384.065373
2014/1/14,182.76,76.78,2735.828409,6512.112529
2014/1/13,181.03,75.28,2761.973154,6641.870351
2014/1/10,184.07,74.89,2716.357907,6676.458806
2014/1/9,184.19,75.39,2714.588197,6632.179334
2014/1/8,184.77,76.37,2706.067002,6547.073458
2014/1/7,186.48,75.89,2681.252681,6588.483331
2014/1/6,182.83,76.43,2734.780944,6541.933796
2014/1/3,183.46,76.02,2725.389731,6577.216522
2014/1/2,182.37,77.73,2741.679004,6432.522835
2013/12/31,184.38,78.83,2711.790867,6342.762908
2013/12/30,183.24,77.92,2728.661864,6416.837782
2013/12/27,181.93,78.7,2748.309789,6353.240152
2013/12/26,182.19,79.24,2744.387727,6309.944472
2013/12/24,180.1,79.77,2776.235425,6268.020559
2013/12/23,179.13,80.11,2791.268911,6241.41805
2013/12/20,176.96,77.15,2825.497288,6480.8814
2013/12/19,177.15,76.51,2822.466836,6535.093452
2013/12/18,175.66,77.39,2846.407833,6460.783047
2013/12/17,172.77,77.99,2894.020953,6411.078343
2013/12/16,174.82,78.34,2860.084659,6382.435537
2013/12/13,169.86,77.91,2943.600612,6417.661404
2013/12/12,170.42,78.77,2933.927943,6347.594262
2013/12/11,172.22,78.88,2903.263268,6338.742394
2013/12/10,174.1,79.47,2871.912694,6291.682396
2013/12/9,174.44,79.59,2866.315065,6282.196256
2013/12/6,174.65,78.69,2862.868594,6354.047528
2013/12/5,173.08,79.8,2888.837532,6265.66416
2013/12/4,172.75,79.39,2894.356006,6298.022421
2013/12/3,173.08,79.58,2888.837532,6282.985675
2013/12/2,174.46,77.46,2865.986473,6454.944487
2013/11/29,176.62,78.14,2830.936474,6398.771436
2013/11/27,175.92,76.72,2842.201,6517.205422
2013/11/26,174.29,74.95,2868.781915,6671.114076
2013/11/25,175.89,73.6,2842.68577,6793.478261
2013/11/22,178.21,73.04,2805.678694,6845.564074
2013/11/21,181,73.23,2762.430939,6827.802813
2013/11/20,182.04,72.37,2746.649088,6908.940169
2013/11/19,182.1,73.01,2745.744097,6848.376935
2013/11/18,181.33,72.88,2757.403629,6860.592755
2013/11/15,180.07,73.77,2776.697951,6777.822963
2013/11/14,179.11,74.22,2791.580593,6736.728645
2013/11/13,180.43,73.16,2771.15779,6834.335703
2013/11/12,179.95,73.07,2778.549597,6842.753524
2013/11/11,179.77,72.94,2781.331702,6854.949273
2013/11/8,176.93,73.15,2825.976375,6835.269993
2013/11/7,176.94,72.01,2825.816661,6943.480072
2013/11/6,176.14,73.2,2838.651073,6830.601093
2013/11/5,173.89,73.41,2875.380988,6811.061163
2013/11/4,176.25,73.59,2836.879433,6794.401413
2013/11/1,175.24,72.65,2853.229856,6882.312457
2013/10/31,175.22,73.02,2853.55553,6847.439058
2013/10/30,176.14,73.33,2838.651073,6818.49175
2013/10/29,178.06,72.18,2808.042233,6927.126628
2013/10/28,173.4,74.03,2883.506344,6754.018641
2013/10/25,172.91,73.48,2891.677751,6804.572673
2013/10/24,173.84,74.31,2876.208007,6728.569506
2013/10/23,171.86,73.34,2909.344816,6817.56204
2013/10/22,171.07,72.63,2922.780148,6884.207628
2013/10/21,169.01,72.84,2958.404828,6864.360242
2013/10/18,169.91,71.09,2942.734389,7033.338022
2013/10/17,170.94,70.48,2925.002925,7094.211124
2013/10/16,182.57,70.01,2738.675576,7141.83688
2013/10/15,180.55,69.67,2769.315979,7176.690111
