DATE,PORT_LOSS,Historical_VaR_2,Historical_ES_2,Parametric_VaR_U_2,Parametric_ES_U_2,Parametric_VaR_W_2,Parametric_ES_W_2,MonteCarlo_VaR_U_2,MonteCarlo_ES_U_2,MonteCarlo_VaR_W_2,MonteCarlo_ES_W_2
2012-03-06 00:00:00,-52204.10059272009,70612.48468133993,68543.29597433083,57143.830695087556,57405.54397417267,68907.92222776113,69204.96553076047,61789.65057856543,56569.95052135156,72717.59999976913,71260.24635075593
2012-03-05 00:00:00,-18507.360474560177,70612.48468133993,68543.29597433083,57014.442501564976,57276.650927260984,68793.0961350738,69090.26053242653,54045.112563975155,53137.375764122415,75004.27955144737,70564.05318446015
2012-03-02 00:00:00,-4543.773444839986,70612.48468133993,68543.29597433083,57023.59951787675,57285.79973977432,68770.5724267821,69067.95270865539,52224.4298368108,51413.82929079404,76167.91321286431,71826.00762939412
2012-03-01 00:00:00,-3471.823734569829,70612.48468133993,68543.29597433083,57069.96663646086,57332.15397301875,68883.29362323857,69180.91472622962,62098.989267534576,61178.54899771567,64806.36153693986,64014.54594241591
2012-02-29 00:00:00,8211.85671041999,70612.48468133993,68543.29597433083,57160.532842456014,57422.74315888819,68996.86602374807,69294.72726737557,56235.067626856035,58335.51674104413,64222.12912620162,65670.83480730187
2012-02-28 00:00:00,6641.429500820115,70612.48468133993,68543.29597433083,57159.0688351593,57421.467862465535,69105.3568056596,69403.46305447433,64984.230549141415,59418.479298479266,65026.01347041945,64798.31471791514
2012-02-27 00:00:00,-14993.283225569874,70612.48468133993,68543.29597433083,57130.71057990217,57393.15299515019,69262.41339781089,69560.65334993368,55370.53874076484,55016.55897899347,75058.99339449592,75093.81431994299
2012-02-24 00:00:00,-24422.455186169944,70612.48468133993,68543.29597433083,57166.67716774787,57429.078695979435,69363.50932798989,69661.9998817544,63258.4888108935,65568.04315250393,75359.22049525264,73582.6014409314
2012-02-23 00:00:00,-27037.437711400213,70612.48468133993,68543.29597433083,57166.421208793065,57428.84632967471,69496.87999399425,69795.58300544159,58083.435730908066,58681.96400244766,61871.300250389846,60901.04417987572
2012-02-22 00:00:00,-36014.531405369984,70612.48468133993,68543.29597433083,57304.76016484725,57567.31887956208,69662.51181759092,69961.28275266883,61163.3555071766,59352.20275103807,64534.04936116852,64696.54920961603
2012-02-21 00:00:00,-31882.20098555996,70612.48468133993,68543.29597433083,57428.962767947116,57691.36539826798,69729.2140439871,70028.24472726928,55948.70307692536,57639.15799816765,80941.35160791525,71320.44462923582
2012-02-17 00:00:00,-34171.47821253014,70612.48468133993,68543.29597433083,57507.79969271505,57770.244245402864,69894.49870107067,70193.60421305138,57571.006874177605,53813.22949221789,77850.54108380363,72099.03456614334
2012-02-16 00:00:00,-32451.74534645013,70612.48468133993,68543.29597433083,57506.423497166485,57768.8720824077,69979.05645534629,70278.41999986942,61391.27161708451,59375.868603002695,73228.30053287977,77751.59237498969
2012-02-15 00:00:00,-32714.329121019924,70612.48468133993,68543.29597433083,57313.924522296526,57576.20254151779,70115.1321431892,70414.70374630415,55395.631145639694,55270.372781836755,69160.62624905596,68047.86799295126
2012-02-14 00:00:00,-7829.29137281992,70612.48468133993,68543.29597433083,57290.953350486234,57553.37549620273,69997.25623618008,70296.94798576587,67233.54458171478,66824.57755812956,78689.55888846389,75104.13583624334
